,0
583,JOURNAL OF THE AMERICAN PLANNING ASSOCIATION
584,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS
585,HABITAT INTERNATIONAL
586,Full Journal Title
587,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY
588,JAMA Dermatology
589,JOURNAL OF INVESTIGATIVE DERMATOLOGY
590,BRITISH JOURNAL OF DERMATOLOGY
591,ACS Energy Letters
592,BIOSENSORS & BIOELECTRONICS
593,JOURNAL OF POWER SOURCES
594,SENSORS AND ACTUATORS B-CHEMICAL
595,ELECTROCHIMICA ACTA
596,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS
597,Dialogues in Human Geography
598,ECONOMIC GEOGRAPHY
599,PROGRESS IN HUMAN GEOGRAPHY
600,LANDSCAPE AND URBAN PLANNING
601,JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY
602,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY
603,Developmental Cognitive Neuroscience
604,CHILD DEVELOPMENT
605,Child Development Perspectives
606,SOCIOLOGICAL METHODS & RESEARCH
607,REVIEW OF ECONOMICS AND STATISTICS
608,ECONOMETRICA
609,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL
610,RISK ANALYSIS
611,Annual Review of Chemical and Biomolecular Engineering
612,Journal of Energy Chemistry
613,CARBOHYDRATE POLYMERS
614,FOOD HYDROCOLLOIDS
615,FOOD CHEMISTRY
616,COORDINATION CHEMISTRY REVIEWS
617,PROGRESS IN SOLID STATE CHEMISTRY
618,Inorganic Chemistry Frontiers
619,INORGANIC CHEMISTRY
620,DALTON TRANSACTIONS
621,Annual Review of Animal Biosciences
622,Transboundary and Emerging Diseases
623,ANIMAL HEALTH RESEARCH REVIEWS
624,VETERINARY RESEARCH
625,VETERINARY MICROBIOLOGY
626,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING
627,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS
628,AUTOMATION IN CONSTRUCTION
629,BUILDING AND ENVIRONMENT
630,ENERGY AND BUILDINGS
631,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES
632,International Journal of Mining Science and Technology
633,ORE GEOLOGY REVIEWS
634,MINERALS ENGINEERING
635,Mineral Processing and Extractive Metallurgy Review
636,Full Journal Title
637,PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH
638,JOURNAL OF ETHNIC AND MIGRATION STUDIES
639,DEMOGRAPHY
640,POPULATION AND DEVELOPMENT REVIEW
641,Full Journal Title
642,CHINA JOURNAL
643,Journal of Contemporary China
644,CHINA QUARTERLY
645,POST-SOVIET AFFAIRS
646,NEW ENGLAND JOURNAL OF MEDICINE
647,LANCET
648,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION
649,Nature Reviews Disease Primers
650,BMJ-British Medical Journal
651,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING
652,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING
653,Annual Review of Statistics and Its Application
654,Communications in Nonlinear Science and Numerical Simulation
655,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS
656,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING
657,GLOBAL ECOLOGY AND BIOGEOGRAPHY
658,GIScience & Remote Sensing
659,LANDSCAPE AND URBAN PLANNING
660,Cryosphere
661,Andrology
662,Basic and Clinical Andrology
663,APPLIED CATALYSIS B-ENVIRONMENTAL
664,CHEMICAL ENGINEERING JOURNAL
665,WATER RESEARCH
666,JOURNAL OF HAZARDOUS MATERIALS
667,RESOURCES CONSERVATION AND RECYCLING
668,BEHAVIORAL AND BRAIN SCIENCES
669,TRENDS IN COGNITIVE SCIENCES
670,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS
671,CORTEX
672,Advances in the Study of Behavior
673,REVIEW OF EDUCATIONAL RESEARCH
674,Educational Research Review
675,Internet and Higher Education
676,COMPUTERS & EDUCATION
677,EDUCATIONAL PSYCHOLOGIST
678,Behavior Research Methods
679,PSYCHONOMIC BULLETIN & REVIEW
680,JOURNAL OF MATHEMATICAL PSYCHOLOGY
681,NATURE REVIEWS NEUROSCIENCE
682,NATURE NEUROSCIENCE
683,BEHAVIORAL AND BRAIN SCIENCES
684,TRENDS IN COGNITIVE SCIENCES
685,JOURNAL OF PINEAL RESEARCH
686,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS
687,SENSORS AND ACTUATORS B-CHEMICAL
688,LAB ON A CHIP
689,Photoacoustics
690,APPLIED SPECTROSCOPY REVIEWS
691,npj Quantum Information
692,PROGRESS IN QUANTUM ELECTRONICS
693,npj Quantum Materials
694,IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS
695,FOOD POLICY
696,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS
697,Applied Economic Perspectives and Policy
698,Annual Review of Resource Economics
699,AQUACULTURE ECONOMICS & MANAGEMENT
700,ACTA NUMERICA
701,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY
702,Publications Mathematiques de l IHES
703,ANNALS OF MATHEMATICS
704,Fractional Calculus and Applied Analysis
705,BIOMATERIALS
706,Bioactive Materials
707,Biofabrication
708,Advanced Healthcare Materials
709,Acta Biomaterialia
710,Full Journal Title
711,NATURAL PRODUCT REPORTS
712,MEDICINAL RESEARCH REVIEWS
713,JOURNAL OF MEDICINAL CHEMISTRY
714,EXPERT OPINION ON THERAPEUTIC PATENTS
715,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES
716,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY
717,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES
718,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY
719,GERONTOLOGIST
720,GENDER WORK AND ORGANIZATION
721,GENDER & SOCIETY
722,PSYCHOLOGY OF WOMEN QUARTERLY
723,SEX ROLES
724,WOMENS HEALTH ISSUES
725,PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW
726,Social Issues and Policy Review
727,Advances in Experimental Social Psychology
728,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY
729,Social Psychological and Personality Science
730,IEEE Communications Surveys and Tutorials
731,IEEE WIRELESS COMMUNICATIONS
732,IEEE Internet of Things Journal
733,IEEE NETWORK
734,IEEE Transactions on Dependable and Secure Computing
735,AMERICAN JOURNAL OF BIOETHICS
736,SOCIAL SCIENCE & MEDICINE
737,International Journal of Transgenderism
738,AIDS AND BEHAVIOR
739,EVOLUTION AND HUMAN BEHAVIOR
740,Full Journal Title
741,Human Resource Management Journal
742,JOURNAL OF HUMAN RESOURCES
743,Human Resource Development Quarterly
744,JOURNAL OF LABOR ECONOMICS
745,PROGRESS IN PARTICLE AND NUCLEAR PHYSICS
746,Annual Review of Nuclear and Particle Science
747,NUCLEAR DATA SHEETS
748,PHYSICS LETTERS B
749,PROGRESS IN ENERGY AND COMBUSTION SCIENCE
750,ENERGY CONVERSION AND MANAGEMENT
751,ENERGY
752,PROCEEDINGS OF THE COMBUSTION INSTITUTE
753,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER
754,NEUROIMAGE
755,Journal of NeuroInterventional Surgery
756,HUMAN BRAIN MAPPING
757,TRENDS IN FOOD SCIENCE & TECHNOLOGY
758,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY
759,Annual Review of Food Science and Technology
760,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION
761,FOOD HYDROCOLLOIDS
762,Full Journal Title
763,NATURAL PRODUCT REPORTS
764,ALDRICHIMICA ACTA
765,ORGANIC LETTERS
766,BIOMACROMOLECULES
767,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY
768,ALLERGY
769,Journal of Allergy and Clinical Immunology-In Practice
770,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY
771,Clinical and Translational Allergy
772,JOURNAL OF SEX RESEARCH
773,ACCIDENT ANALYSIS AND PREVENTION
774,HUMAN RELATIONS
775,POLICY SCIENCES
776,Journal of Mixed Methods Research
777,Energy & Environmental Science
778,PROGRESS IN ENERGY AND COMBUSTION SCIENCE
779,APPLIED CATALYSIS B-ENVIRONMENTAL
780,CHEMICAL ENGINEERING JOURNAL
781,Annual Review of Chemical and Biomolecular Engineering
782,Nature Reviews Rheumatology
783,ANNALS OF THE RHEUMATIC DISEASES
784,Arthritis & Rheumatology
785,RHEUMATOLOGY
786,Therapeutic Advances in Musculoskeletal Disease
787,Academy of Management Annals
788,Annual Review of Organizational Psychology and Organizational Behavior
789,JOURNAL OF INTERNATIONAL BUSINESS STUDIES
790,JOURNAL OF MANAGEMENT
791,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS
792,HISTOCHEMISTRY AND CELL BIOLOGY
793,MICROSCOPY AND MICROANALYSIS
794,ENGINEERING GEOLOGY
795,Landslides
796,Acta Geotechnica
797,INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES
798,ROCK MECHANICS AND ROCK ENGINEERING
799,Full Journal Title
800,GEOLOGY
801,JOURNAL OF METAMORPHIC GEOLOGY
802,ORE GEOLOGY REVIEWS
803,INTERNATIONAL GEOLOGY REVIEW
804,Nature Geoscience
805,EARTH-SCIENCE REVIEWS
806,Earth System Science Data
807,Annual Review of Earth and Planetary Sciences
808,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING
809,PALEOCEANOGRAPHY
810,PALAEONTOLOGY
811,Paleoceanography and Paleoclimatology
812,Earth and Environmental Science Transactions of the Royal Society of Edinburgh
813,JOURNAL OF SYSTEMATIC PALAEONTOLOGY
814,Nature Reviews Materials
815,Nature Energy
816,NATURE MATERIALS
817,PROGRESS IN MATERIALS SCIENCE
818,Nature Nanotechnology
819,IEEE Communications Surveys and Tutorials
820,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS
821,IEEE WIRELESS COMMUNICATIONS
822,IEEE COMMUNICATIONS MAGAZINE
823,IEEE Internet of Things Journal
824,JOURNAL OF POLICY ANALYSIS AND MANAGEMENT
825,Public Management Review
826,JOURNAL OF EUROPEAN PUBLIC POLICY
827,PUBLIC ADMINISTRATION REVIEW
828,CLIMATE POLICY
829,NATURE MEDICINE
830,Science Translational Medicine
831,JOURNAL OF CLINICAL INVESTIGATION
832,JOURNAL OF EXPERIMENTAL MEDICINE
833,TRENDS IN MOLECULAR MEDICINE
834,Trauma Violence & Abuse
835,FUTURE OF CHILDREN
836,PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH
837,JOURNAL OF INTERPERSONAL VIOLENCE
838,CHILD MALTREATMENT
839,ACADEMIC MEDICINE
840,MEDICAL EDUCATION
841,Anatomical Sciences Education
842,Studies in Science Education
843,Hematology-American Society of Hematology Education Program
844,ULTRASONICS SONOCHEMISTRY
845,ULTRASOUND IN OBSTETRICS & GYNECOLOGY
846,ULTRASCHALL IN DER MEDIZIN
847,JOURNAL OF SOUND AND VIBRATION
848,IEEE-ACM Transactions on Audio Speech and Language Processing
849,Information Fusion
850,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION
851,IEEE Transactions on Neural Networks and Learning Systems
852,ACM COMPUTING SURVEYS
853,COMMUNICATIONS OF THE ACM
854,NATURE MATERIALS
855,ADVANCED MATERIALS
856,Advanced Energy Materials
857,ADVANCED FUNCTIONAL MATERIALS
858,ADVANCES IN PHYSICS
859,Horticulture Research
860,THEORETICAL AND APPLIED GENETICS
861,POSTHARVEST BIOLOGY AND TECHNOLOGY
862,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH
863,SCIENTIA HORTICULTURAE
864,Nature Reviews Materials
865,Nature Nanotechnology
866,ADVANCED MATERIALS
867,ACS Energy Letters
868,Nano Today
869,SIAM REVIEW
870,Nonlinear Analysis-Hybrid Systems
871,Communications in Nonlinear Science and Numerical Simulation
872,APPLIED MATHEMATICS LETTERS
873,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL
874,HUMAN REPRODUCTION UPDATE
875,AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY
876,FERTILITY AND STERILITY
877,HUMAN REPRODUCTION
878,ULTRASOUND IN OBSTETRICS & GYNECOLOGY
879,Nature Climate Change
880,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS
881,Environmental Innovation and Societal Transitions
882,Annual Review of Environment and Resources
883,TOURISM MANAGEMENT
884,HUMAN REPRODUCTION UPDATE
885,FERTILITY AND STERILITY
886,HUMAN REPRODUCTION
887,JOURNAL OF REPRODUCTIVE IMMUNOLOGY
888,Plant Reproduction
889,International Review of Sport and Exercise Psychology
890,TOURISM MANAGEMENT
891,Journal of Travel Research
892,International Journal of Hospitality Management
893,ANNALS OF TOURISM RESEARCH
894,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY
895,CERAMICS INTERNATIONAL
896,JOURNAL OF THE AMERICAN CERAMIC SOCIETY
897,JOURNAL OF NON-CRYSTALLINE SOLIDS
898,Journal of Advanced Ceramics
899,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS
900,JOURNAL OF SANDWICH STRUCTURES & MATERIALS
901,MATERIALS CHARACTERIZATION
902,MECHANICS OF ADVANCED MATERIALS AND STRUCTURES
903,NDT & E INTERNATIONAL
904,REGULATORY TOXICOLOGY AND PHARMACOLOGY
905,Journal of Law and the Biosciences
906,INTERNATIONAL JOURNAL OF LEGAL MEDICINE
907,FORENSIC SCIENCE INTERNATIONAL
908,JACC-Cardiovascular Imaging
909,MEDICAL IMAGE ANALYSIS
910,RADIOLOGY
911,JOURNAL OF NUCLEAR MEDICINE
912,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING
913,BRITISH JOURNAL OF SPORTS MEDICINE
914,SPORTS MEDICINE
915,AMERICAN JOURNAL OF SPORTS MEDICINE
916,EXERCISE IMMUNOLOGY REVIEW
917,Journal of the International Society of Sports Nutrition
918,AMERICAN JOURNAL OF BIOETHICS
919,BMC Medical Ethics
920,Journal of Law and the Biosciences
921,JOURNAL OF MEDICAL ETHICS
922,LANCET INFECTIOUS DISEASES
923,Lancet HIV
924,CLINICAL INFECTIOUS DISEASES
925,CLINICAL MICROBIOLOGY AND INFECTION
926,Eurosurveillance
927,TRENDS IN COGNITIVE SCIENCES
928,Advances in Experimental Social Psychology
929,COMPUTERS IN HUMAN BEHAVIOR
930,Behavior Research Methods
931,PSYCHONOMIC BULLETIN & REVIEW
932,BEHAVIORAL AND BRAIN SCIENCES
933,PSYCHOPHYSIOLOGY
934,EVOLUTION AND HUMAN BEHAVIOR
935,TOBACCO CONTROL
936,TOBACCO CONTROL
937,ADDICTION
938,ADDICTION
939,INTERNATIONAL JOURNAL OF DRUG POLICY
940,JAMA Pediatrics
941,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY
942,Archives of Disease in Childhood-Fetal and Neonatal Edition
943,PEDIATRICS
944,PEDIATRIC ALLERGY AND IMMUNOLOGY
945,RENEWABLE & SUSTAINABLE ENERGY REVIEWS
946,Nature Sustainability
947,GREEN CHEMISTRY
948,ChemSusChem
949,ACS Sustainable Chemistry & Engineering
950,INTERNATIONAL JOURNAL OF ENERGY RESEARCH
951,JOURNAL OF NUCLEAR MATERIALS
952,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY
953,RADIATION PHYSICS AND CHEMISTRY
954,Nuclear Materials and Energy
955,CELL
956,NATURE MEDICINE
957,Annual Review of Biochemistry
958,MOLECULAR CELL
959,Molecular Cancer
960,NATURE REVIEWS MOLECULAR CELL BIOLOGY
961,CELL
962,NATURE MEDICINE
963,CANCER CELL
964,Cell Metabolism
965,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE
966,Virtual and Physical Prototyping
967,Additive Manufacturing
968,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING
969,IEEE-ASME TRANSACTIONS ON MECHATRONICS
970,Full Journal Title
971,ACTA MATERIALIA
972,Journal of Magnesium and Alloys
973,CORROSION SCIENCE
974,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY
975,BIOSENSORS & BIOELECTRONICS
976,TRAC-TRENDS IN ANALYTICAL CHEMISTRY
977,SENSORS AND ACTUATORS B-CHEMICAL
978,Trends in Environmental Analytical Chemistry
979,Annual Review of Analytical Chemistry
980,Physics of Life Reviews
981,NATURE STRUCTURAL & MOLECULAR BIOLOGY
982,Annual Review of Biophysics
983,BIOSENSORS & BIOELECTRONICS
984,CURRENT OPINION IN CHEMICAL BIOLOGY
985,SOCIAL STUDIES OF SCIENCE
986,SOCIAL STUDIES OF SCIENCE
987,SCIENCE AND ENGINEERING ETHICS
988,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE
989,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE
990,Nature Energy
991,Energy & Environmental Science
992,PROGRESS IN ENERGY AND COMBUSTION SCIENCE
993,Advanced Energy Materials
994,ACS Energy Letters
995,FORBES
996,JOURNAL OF FINANCE
997,JOURNAL OF FINANCIAL ECONOMICS
998,REVIEW OF FINANCIAL STUDIES
999,ACCOUNTING REVIEW
1000,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
1001,Information Fusion
1002,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION
1003,MEDICAL IMAGE ANALYSIS
1004,IEEE Transactions on Cybernetics
1005,CHEMICAL REVIEWS
1006,CHEMICAL SOCIETY REVIEWS
1007,Energy & Environmental Science
1008,ADVANCED MATERIALS
1009,Nature Chemistry
1010,BIORESOURCE TECHNOLOGY
1011,INDUSTRIAL CROPS AND PRODUCTS
1012,BIOMASS & BIOENERGY
1013,Full Journal Title
1014,NATURE METHODS
1015,Nature Protocols
1016,BRIEFINGS IN BIOINFORMATICS
1017,CURRENT OPINION IN BIOTECHNOLOGY
1018,BMJ Quality & Safety
1019,Implementation Science
1020,ACADEMIC MEDICINE
1021,HEALTH AFFAIRS
1022,JOURNAL OF MEDICAL INTERNET RESEARCH
1023,JOURNAL OF ETHNIC AND MIGRATION STUDIES
1024,ETHNICITY & HEALTH
1025,Journal of Immigrant & Refugee Studies
1026,Cultural Diversity & Ethnic Minority Psychology
1027,Sociology of Race and Ethnicity
1028,PLoS Neglected Tropical Diseases
1029,Infectious Diseases of Poverty
1030,Parasites & Vectors
1031,MALARIA JOURNAL
1032,ACTA TROPICA
1033,Journal of Physiotherapy
1034,NEUROREHABILITATION AND NEURAL REPAIR
1035,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY
1036,Annals of Physical and Rehabilitation Medicine
1037,Journal of NeuroEngineering and Rehabilitation
1038,CA-A CANCER JOURNAL FOR CLINICIANS
1039,Nature Reviews Clinical Oncology
1040,NATURE REVIEWS CANCER
1041,LANCET ONCOLOGY
1042,JOURNAL OF CLINICAL ONCOLOGY
1043,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
1044,npj Quantum Information
1045,Journal of Physical Chemistry Letters
1046,JOURNAL OF MOLECULAR LIQUIDS
1047,Journal of Chemical Theory and Computation
1048,Annual Review of Animal Biosciences
1049,Animal Nutrition
1050,Journal of Animal Science and Biotechnology
1051,GENETICS SELECTION EVOLUTION
1052,JOURNAL OF DAIRY SCIENCE
1053,HARVARD LAW REVIEW
1054,YALE LAW JOURNAL
1055,European Journal of Psychology Applied to Legal Context
1056,UNIVERSITY OF PENNSYLVANIA LAW REVIEW
1057,COMMON MARKET LAW REVIEW
1058,Nature Climate Change
1059,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
1060,Earth System Science Data
1061,Earths Future
1062,Wiley Interdisciplinary Reviews-Climate Change
1063,IEEE Journal of Biomedical and Health Informatics
1064,JOURNAL OF MEDICAL INTERNET RESEARCH
1065,ARTIFICIAL INTELLIGENCE IN MEDICINE
1066,JMIR mHealth and uHealth
1067,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION
1068,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
1069,IEEE Industrial Electronics Magazine
1070,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS
1071,IEEE WIRELESS COMMUNICATIONS
1072,IEEE SIGNAL PROCESSING MAGAZINE
1073,AMERICAN JOURNAL OF BIOETHICS
1074,JOURNAL OF BUSINESS ETHICS
1075,Journal of Responsible Innovation
1076,SCIENCE AND ENGINEERING ETHICS
1077,BUSINESS ETHICS QUARTERLY
1078,Brain Structure & Function
1079,Frontiers in Neuroanatomy
1080,DEVELOPMENTAL DYNAMICS
1081,ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER
1082,MICROSCOPY RESEARCH AND TECHNIQUE
1083,REVIEWS OF MODERN PHYSICS
1084,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS
1085,Nature Physics
1086,REPORTS ON PROGRESS IN PHYSICS
1087,Physical Review X
1088,Analytic Methods in Accident Research
1089,TRANSPORT REVIEWS
1090,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL
1091,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW
1092,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT
1093,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING
1094,CEMENT AND CONCRETE RESEARCH
1095,CEMENT & CONCRETE COMPOSITES
1096,AUTOMATION IN CONSTRUCTION
1097,Sustainable Cities and Society
1098,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT
1099,MIS QUARTERLY
1100,Journal of Computer-Mediated Communication
1101,JOURNAL OF STRATEGIC INFORMATION SYSTEMS
1102,INFORMATION & MANAGEMENT
1103,COMPOSITES PART B-ENGINEERING
1104,COMPOSITES SCIENCE AND TECHNOLOGY
1105,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING
1106,CEMENT & CONCRETE COMPOSITES
1107,JOURNAL OF SANDWICH STRUCTURES & MATERIALS
1108,IEEE Geoscience and Remote Sensing Magazine
1109,REMOTE SENSING OF ENVIRONMENT
1110,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING
1111,IEEE TRANSACTIONS ON MEDICAL IMAGING
1112,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING
1113,THEORY CULTURE & SOCIETY
1114,Journal of Consumer Culture
1115,Memory Studies
1116,Cultural Trends
1117,SCIENCE AS CULTURE